,Date,Patch,Format,match_url,Maps_Won_1,Maps_Won_2,Map Number,Map,Duration,Team1,RoundsWon1,Team2,RoundsWon2,PistolWin1,PistolWin2,EcoWin1,Ecowin2,SemiEcoWin1,SemiEcoWin2,SemiBuyWin1,SemiBuyWin2,BuyWin1,BuyWin2
0,2023-04-01 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183774/sentinels-vs-100-thieves-champions-tour-2023-americas-league-w1,2,1,1,"Fracture
PICK",1:07:36,Sentinels,13,100 Thieves,11,0,2,4 (0),2 (2),0 (0),1 (0),8 (5),8 (5),12 (8),13 (4)
1,2023-04-01 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183774/sentinels-vs-100-thieves-champions-tour-2023-americas-league-w1,2,1,2,"Split
PICK",1:04:26,Sentinels,12,100 Thieves,14,0,2,3 (0),2 (2),2 (1),3 (2),5 (4),9 (4),16 (7),12 (6)
2,2023-04-01 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183774/sentinels-vs-100-thieves-champions-tour-2023-americas-league-w1,2,1,3,Ascent,1:04:22,Sentinels,14,100 Thieves,12,2,0,2 (2),4 (0),0 (0),1 (0),5 (2),4 (2),19 (10),17 (10)
3,2023-04-01 19:15:00,Patch 6.05,BO3,https://www.vlr.gg/183775/kr-esports-vs-furia-champions-tour-2023-americas-league-w1,0,2,1,"Split
PICK",1:14:47,KRÜ Esports,11,FURIA,13,0,2,4 (0),2 (2),1 (1),0 (0),3 (1),9 (5),16 (9),13 (6)
4,2023-04-01 19:15:00,Patch 6.05,BO3,https://www.vlr.gg/183775/kr-esports-vs-furia-champions-tour-2023-americas-league-w1,0,2,2,"Ascent
PICK",45:50,KRÜ Esports,5,FURIA,13,1,1,4 (2),3 (2),2 (0),1 (1),3 (0),3 (2),9 (3),11 (8)
5,2023-04-02 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183776/loud-vs-mibr-champions-tour-2023-americas-league-w1,2,1,1,"Split
PICK",54:28,LOUD,13,MIBR,5,2,0,2 (2),4 (0),0 (0),0 (0),4 (3),5 (0),12 (8),9 (5)
6,2023-04-02 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183776/loud-vs-mibr-champions-tour-2023-americas-league-w1,2,1,2,"Lotus
PICK",56:44,LOUD,11,MIBR,13,1,1,3 (1),3 (1),2 (0),1 (0),8 (5),6 (3),11 (5),14 (9)
7,2023-04-02 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183776/loud-vs-mibr-champions-tour-2023-americas-league-w1,2,1,3,Haven,54:42,LOUD,13,MIBR,11,2,0,2 (2),4 (0),4 (0),2 (0),4 (3),2 (1),14 (8),16 (10)
8,2023-04-02 18:45:00,Patch 6.05,BO3,https://www.vlr.gg/183777/evil-geniuses-vs-cloud9-champions-tour-2023-americas-league-w1,0,2,1,"Pearl
PICK",1:25:06,Evil Geniuses,11,Cloud9,13,2,0,4 (2),4 (1),0 (0),0 (0),7 (1),3 (0),13 (8),17 (12)
9,2023-04-02 18:45:00,Patch 6.05,BO3,https://www.vlr.gg/183777/evil-geniuses-vs-cloud9-champions-tour-2023-americas-league-w1,0,2,2,"Fracture
PICK",49:34,Evil Geniuses,9,Cloud9,13,2,0,5 (2),4 (2),2 (0),1 (0),3 (1),1 (1),12 (6),16 (10)
10,2023-04-03 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183778/leviat-n-vs-nrg-esports-champions-tour-2023-americas-league-w1,2,0,1,"Pearl
PICK",1:08:04,Leviatán,13,NRG Esports,11,0,2,4 (0),2 (2),2 (1),0 (0),1 (1),12 (6),17 (11),10 (3)
11,2023-04-03 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183778/leviat-n-vs-nrg-esports-champions-tour-2023-americas-league-w1,2,0,2,"Lotus
PICK",39:08,Leviatán,13,NRG Esports,4,2,0,2 (2),4 (0),0 (0),0 (0),5 (4),7 (1),10 (7),6 (3)
12,2023-04-08 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183779/cloud9-vs-loud-champions-tour-2023-americas-league-w2,1,2,1,"Split
PICK",1:03:31,Cloud9,13,LOUD,7,2,0,2 (2),4 (0),1 (0),3 (1),7 (5),3 (3),10 (6),10 (3)
13,2023-04-08 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183779/cloud9-vs-loud-champions-tour-2023-americas-league-w2,1,2,2,"Ascent
PICK",55:14,Cloud9,8,LOUD,13,2,0,3 (2),4 (1),3 (1),0 (0),7 (3),1 (0),8 (2),16 (12)
14,2023-04-08 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183779/cloud9-vs-loud-champions-tour-2023-americas-league-w2,1,2,3,Pearl,44:49,Cloud9,7,LOUD,13,1,1,3 (1),3 (1),3 (0),0 (0),6 (1),2 (1),8 (5),15 (11)
15,2023-04-08 18:35:00,Patch 6.05,BO3,https://www.vlr.gg/183780/leviat-n-vs-furia-champions-tour-2023-americas-league-w2,1,2,1,"Pearl
PICK",1:08:28,Leviatán,13,FURIA,11,1,1,3 (1),3 (1),0 (0),3 (0),6 (3),2 (2),15 (9),16 (8)
16,2023-04-08 18:35:00,Patch 6.05,BO3,https://www.vlr.gg/183780/leviat-n-vs-furia-champions-tour-2023-americas-league-w2,1,2,2,"Icebox
PICK",47:44,Leviatán,5,FURIA,13,0,2,3 (0),2 (2),2 (0),0 (0),4 (2),6 (3),9 (3),10 (8)
17,2023-04-08 18:35:00,Patch 6.05,BO3,https://www.vlr.gg/183780/leviat-n-vs-furia-champions-tour-2023-americas-league-w2,1,2,3,Ascent,55:08,Leviatán,10,FURIA,13,1,1,3 (1),3 (2),1 (1),0 (0),5 (1),6 (3),14 (7),14 (8)
18,2023-04-09 15:00:00,Patch 6.05,BO3,https://www.vlr.gg/183781/nrg-esports-vs-sentinels-champions-tour-2023-americas-league-w2,2,0,1,"Lotus
PICK",1:14:23,NRG Esports,13,Sentinels,10,1,1,3 (1),3 (1),1 (1),1 (0),6 (3),7 (4),13 (8),12 (5)
