,Date,Patch,Format,match_url,Maps_Won_1,Maps_Won_2,Map Number,Map,Duration,Team1,RoundsWon1,Team2,RoundsWon2,PistolWin1,PistolWin2,EcoWin1,Ecowin2,SemiEcoWin1,SemiEcoWin2,SemiBuyWin1,SemiBuyWin2,BuyWin1,BuyWin2
0,2023-03-21 16:00:00,Patch 6.03,BO3,https://www.vlr.gg/184642/team-liquid-brazil-vs-mibr-female-game-changers-2023-brazil-series-1-main-event-ubqf,2,0,1,"Haven
PICK",44:50,Team Liquid Brazil,13,MIBR Female,7,2,0,2 (2),3 (0),1 (0),2 (0),5 (4),1 (0),12 (7),14 (7)
1,2023-03-21 16:00:00,Patch 6.03,BO3,https://www.vlr.gg/184642/team-liquid-brazil-vs-mibr-female-game-changers-2023-brazil-series-1-main-event-ubqf,2,0,2,"Pearl
PICK",28:18,Team Liquid Brazil,13,MIBR Female,0,2,0,2 (2),3 (0),0 (0),2 (0),2 (2),3 (0),9 (9),5 (0)
2,2023-03-21 18:20:00,Patch 6.03,BO3,https://www.vlr.gg/184643/00nation-fem-vs-hummer-esports-game-changers-2023-brazil-series-1-main-event-ubqf,1,2,1,"Pearl
PICK",39:34,00Nation Fem,13,HUMMER Esports,5,2,0,2 (2),4 (0),1 (0),2 (0),4 (3),1 (0),11 (8),11 (5)
3,2023-03-21 18:20:00,Patch 6.03,BO3,https://www.vlr.gg/184643/00nation-fem-vs-hummer-esports-game-changers-2023-brazil-series-1-main-event-ubqf,1,2,2,"Lotus
PICK",43:57,00Nation Fem,7,HUMMER Esports,13,0,2,3 (0),3 (2),2 (0),0 (0),3 (3),4 (2),12 (4),13 (9)
4,2023-03-21 18:20:00,Patch 6.03,BO3,https://www.vlr.gg/184643/00nation-fem-vs-hummer-esports-game-changers-2023-brazil-series-1-main-event-ubqf,1,2,3,Split,43:56,00Nation Fem,9,HUMMER Esports,13,1,1,4 (1),3 (1),1 (0),2 (0),4 (2),2 (1),13 (6),15 (11)
5,2023-03-22 16:00:00,Patch 6.03,BO3,https://www.vlr.gg/184644/loud-gc-vs-bb-w7m-game-changers-2023-brazil-series-1-main-event-ubqf,2,0,1,"Pearl
PICK",51:02,LOUD GC,13,bb.w7m,8,1,1,4 (1),3 (1),1 (0),2 (1),0 (0),6 (2),16 (12),10 (4)
6,2023-03-22 16:00:00,Patch 6.03,BO3,https://www.vlr.gg/184644/loud-gc-vs-bb-w7m-game-changers-2023-brazil-series-1-main-event-ubqf,2,0,2,"Ascent
PICK",32:02,LOUD GC,13,bb.w7m,2,1,1,3 (2),3 (1),0 (0),3 (1),2 (2),4 (0),10 (9),5 (0)
7,2023-03-22 18:30:00,Patch 6.03,BO3,https://www.vlr.gg/184645/oddik-bright-vs-black-dragons-female-game-changers-2023-brazil-series-1-main-event-ubqf,2,1,1,"Ascent
PICK",1:09:06,ODDIK Bright,11,Black Dragons Female,13,1,1,3 (1),3 (1),3 (1),1 (0),4 (3),4 (3),14 (6),16 (9)
8,2023-03-22 18:30:00,Patch 6.03,BO3,https://www.vlr.gg/184645/oddik-bright-vs-black-dragons-female-game-changers-2023-brazil-series-1-main-event-ubqf,2,1,2,"Lotus
PICK",53:52,ODDIK Bright,13,Black Dragons Female,11,2,0,2 (2),4 (0),3 (1),1 (0),5 (3),2 (1),14 (7),17 (10)
9,2023-03-22 18:30:00,Patch 6.03,BO3,https://www.vlr.gg/184645/oddik-bright-vs-black-dragons-female-game-changers-2023-brazil-series-1-main-event-ubqf,2,1,3,Pearl,34:37,ODDIK Bright,13,Black Dragons Female,2,1,1,3 (1),2 (1),0 (0),3 (0),4 (4),5 (1),8 (8),5 (0)
